dataset,colname,formname,conditional,colalias,keypart,datatype,displaytype,sm,fill,options,validation,conversion,label,justlen,characteristics
schemer,k1,,,dataset,1,string,textfield,s,,,,,,,
schemer,k2,,,colname,2,string,textfield,s,,,,,,,
schemer,k3,,,formname,3,string,textfield,s,,,,,,,
schemer,k4,,,conditional,4,string,textfield,s,,,,,,,
schemer,n01,,,colalias,,string,textfield,s,,,,,,,
schemer,n02,,,keypart,,string,numberfield,s,,,,,,,
schemer,n03,,,datatype,,string,selectbox,s,,,,,,,
schemer,n04,,,displaytype,,string,selectbox,s,,,,,,,
schemer,n05,,,sm,,string,radioset,s,,,,,,,
schemer,n06,,,fill,,string,radioset,s,,,,,,,
schemer,n07,,,options,,string,edittable,m,,,,,,,
schemer,n08,,,validation,,string,textfield,s,,,,,,,
schemer,n09,,,conversion,,string,textfield,s,,,,,,,
schemer,n10,,,label,,string,textfield,s,,,,,,,
schemer,n11,,,justlen,,string,textfield,s,,,,,,,
schemer,n12,,,characteristics,,string,edittable,m,,,,,,,
